,Phi_AA
1989-08-01,0.7269559014307615
1989-09-01,0.7319573417013172
1989-10-01,0.7284628255750434
1989-11-01,0.7330592316157584
1989-12-01,0.731809102488608
1990-01-01,0.7312104164091939
1990-02-01,0.7179483474353661
1990-03-01,0.7234643191535131
1990-04-01,0.7266039332035374
1990-05-01,0.7206540947351633
1990-06-01,0.7181369470126875
1990-07-01,0.7193041813230788
1990-08-01,0.7224796389607059
1990-09-01,0.7205735380880818
1990-10-01,0.7125818977049706
1990-11-01,0.7106685394534318
1990-12-01,0.7156787456559801
1991-01-01,0.7200842887681747
1991-02-01,0.7191154845606785
1991-03-01,0.7197629414998653
1991-04-01,0.72302086180611
1991-05-01,0.7229486204177453
1991-06-01,0.7250557108214851
1991-07-01,0.728022190911832
1991-08-01,0.7185790715179922
1991-09-01,0.7153404145617467
1991-10-01,0.7173627887127888
1991-11-01,0.7140038774051137
1991-12-01,0.7263206919311289
1992-01-01,0.7220072543796863
1992-02-01,0.7370677361415064
1992-03-01,0.7374061838114099
1992-04-01,0.7304859511955065
1992-05-01,0.7203030190390735
1992-06-01,0.72549153382098
1992-07-01,0.7237314746706894
1992-08-01,0.7243633389249036
1992-09-01,0.7293450190610629
1992-10-01,0.718907174983722
1992-11-01,0.7643866346423335
1992-12-01,0.7506169932343293
1993-01-01,0.7561774894915424
1993-02-01,0.7576290614064912
1993-03-01,0.7681704698523576
1993-04-01,0.7434064916607398
1993-05-01,0.7656362730338812
1993-06-01,0.7673843259840376
1993-07-01,0.7651647986898406
1993-08-01,0.7617860873399971
1993-09-01,0.7655708974440633
1993-10-01,0.760778491446888
1993-11-01,0.7713165538433302
1993-12-01,0.7583484675114972
1994-01-01,0.7530471624978845
1994-02-01,0.7432520313333414
1994-03-01,0.7531926955928596
1994-04-01,0.7460810867679145
1994-05-01,0.7483674573232456
1994-06-01,0.7486925872161063
1994-07-01,0.7533575999031884
1994-08-01,0.7675558403892202
1994-09-01,0.7748717557335384
1994-10-01,0.7739589662290498
1994-11-01,0.7641680250699321
1994-12-01,0.7658070585107805
1995-01-01,0.7551309790374506
1995-02-01,0.7597538404958366
1995-03-01,0.7599130321088577
1995-04-01,0.7543370734985556
1995-05-01,0.7655672397601556
1995-06-01,0.7764857715900324
1995-07-01,0.7712448583838711
1995-08-01,0.7713049233110094
1995-09-01,0.7824094220144513
1995-10-01,0.7792068455912452
1995-11-01,0.7512125355509293
1995-12-01,0.7522964552903062
1996-01-01,0.7477853624769635
1996-02-01,0.7910864721073897
1996-03-01,0.7872845675063509
1996-04-01,0.7829761219253405
1996-05-01,0.7952315482785912
1996-06-01,0.8067765204733446
1996-07-01,0.7989449409095606
1996-08-01,0.798688313668876
1996-09-01,0.792848743777084
1996-10-01,0.7993845972491865
1996-11-01,0.8071296091596988
1996-12-01,0.8124035816664362
1997-01-01,0.826157357834592
1997-02-01,0.815083037456369
1997-03-01,0.8206176310782227
1997-04-01,0.8267524343391232
1997-05-01,0.8166558883195548
1997-06-01,0.8110050962050557
1997-07-01,0.8103587074678703
1997-08-01,0.8105325679008019
1997-09-01,0.7971337185359653
1997-10-01,0.7966860893325367
1997-11-01,0.7896474890584309
1997-12-01,0.7835096407480314
1998-01-01,0.7799154565958683
1998-02-01,0.7785426179076067
1998-03-01,0.7493718643627901
1998-04-01,0.7088905655606372
1998-05-01,0.7036329953902578
1998-06-01,0.7029684658821841
1998-07-01,0.6974079697286523
1998-08-01,0.6673001333572449
1998-09-01,0.6583532889015834
1998-10-01,0.6591831095909579
1998-11-01,0.6708278461410189
1998-12-01,0.672467494250681
1999-01-01,0.6564906062801884
1999-02-01,0.6327015208912646
1999-03-01,0.6156670650752247
1999-04-01,0.6414930985822095
1999-05-01,0.6395067880059501
1999-06-01,0.6452605447689548
1999-07-01,0.6355013890108033
1999-08-01,0.6724720844477147
1999-09-01,0.6780352177174416
1999-10-01,0.7061912400657241
1999-11-01,0.7024143128341072
1999-12-01,0.7156693775000352
2000-01-01,0.7278368422242654
2000-02-01,0.7215421571303678
2000-03-01,0.7357511228187072
2000-04-01,0.7330115186962551
2000-05-01,0.7056290669329824
2000-06-01,0.7086318394188131
2000-07-01,0.721118379488827
2000-08-01,0.7008103653079749
2000-09-01,0.692377706854425
2000-10-01,0.7019148045176943
2000-11-01,0.7199612337962539
2000-12-01,0.7239453783453941
2001-01-01,0.7157768375027264
2001-02-01,0.7198655061100883
2001-03-01,0.7277836697797813
2001-04-01,0.7256179518200297
2001-05-01,0.7173603868977924
2001-06-01,0.718458915162812
2001-07-01,0.715474599315839
2001-08-01,0.7082497648530105
2001-09-01,0.7077113880798379
2001-10-01,0.7034812631454324
2001-11-01,0.7036248358275591
2001-12-01,0.7086436285968322
2002-01-01,0.7040823482430212
2002-02-01,0.7097562116261233
2002-03-01,0.7060118752515695
2002-04-01,0.6942492233064356
2002-05-01,0.7133645593640902
2002-06-01,0.712735512517479
2002-07-01,0.7243954640247076
2002-08-01,0.70263038362491
2002-09-01,0.7016976409612101
